Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-060604,2019-12,12/04/2019 09:45,Y, , ,1, ,151130,4,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,0,LEE AVE / PECK ST,67, ,3500 BLOCK OF LEE, , ,902322.1,1031194
19-060591,2019-12,12/04/2019 09:45,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,N KINGSHIGHWAY BLVD / MAPLE AV,53, , , , ,888118.1,1028778
19-060606,2019-12,12/04/2019 09:54,Y, , ,1, , 31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1000,N VANDEVENTER AVE,77, ,DEACONESS,1000,VANDEVENTER,895640.9,1023952
19-062075,2019-12,12/04/2019 09:55,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1413,PEABODY,33, , ,1430,CHOUTEAU,0,0
19-060600,2019-12,12/04/2019 09:55,Y, , ,1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1413,PEABODY CT,33, , ,1413,PEABODY,904476.4,1013699
19-060688,2019-12,12/04/2019 10:00,Y, , ,1, , 51112,6,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,973,CANAAN AVE,74, ,1ST FLOOR,973,CANAAN,895862.8,1051488
19-060608,2019-12,12/04/2019 10:00,Y, , ,1, ,263120,6,OBSTRUCT GOVRN OP-FALSE REPORT,4163,N GRAND BLVD,67, , , , ,902088.8,1031691
19-060623,2019-12,12/04/2019 10:20,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,3655,VISTA AVE,29, ,@BETHESDA HOSPITAL,3655,VISTA,894661.8,1015656
19-060619,2019-12,12/04/2019 10:45,Y, , ,1, , 63601,3,"LARCENY-SHOPLIFT $500 - $24,999",3106,S GRAND BLVD,25, ,ATT RETAIL STORE,3106,GRAND,893984.2,1008284
19-060632,2019-12,12/04/2019 10:50,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,0,S GRAND BLVD / OSCEOLA ST,16, , , , ,892907.1,999679.2
19-060926,2019-12,12/04/2019 11:00,Y, , ,1, , 71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4551,FOREST PARK AVE,38, , ,4551,FOREST PARK,888974.3,1021449
19-061460,2019-12,12/04/2019 11:04,Y, , ,1, ,103000,2,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,2515,HAMPTON AVE,11, , ,2515,HAMPTON,880707.6,1012090
19-060617,2019-12,12/04/2019 11:04,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,201,S 20TH ST,36, ,@UNION STATION DRURY INN,201,20TH,902918.5,1017646
19-060611,2019-12,12/04/2019 11:21,Y, , ,1, ,115100,3,FRAUD-STEALING BY DECEIT/OVER $150,1546,S BROADWAY,20,GRAVITY STRINGS,BUSINESS,1546,BROADWAY,906481.6,1011120
19-060630,2019-12,12/04/2019 11:45,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4514,MINNESOTA AVE,17, , ,4324,CHIPPEWA,894988,998023.4
19-060618,2019-12,12/04/2019 11:49,Y, , ,1, ,250000,1,LOITERING-BEGGING,900,LOUGHBOROUGH AVE,1,CARONDOLET NEIGHBORHOOD,HIGHWAY 55 NORTHBOUND EXIT RAMP, , ,888861.4,991772.8
19-062759,2019-12,12/04/2019 12:00,Y, , ,1, ,101000,6,FORGERY,6000,W FLORISSANT AVE,76, , ,6000,FLORISSANT,891085.4,1047002
19-060903,2019-12,12/04/2019 12:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2703,SEMPLE AVE,50, ,RESIDENT S BEDROOM,2703,SEMPLE,886324.1,1034175
19-060714,2019-12,12/04/2019 12:00,Y, , ,1, , 82000,5,ARSON-2ND DEGREE/SUCCESS,5214,ASHLAND AVE,52, , ,5214,ASHLAND,889152.6,1035069
19-060714,2019-12,12/04/2019 12:00,Y, , ,1, , 51312,5,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5214,ASHLAND AVE,52, , ,5214,ASHLAND,889152.6,1035069
19-061629,2019-12,12/04/2019 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,5416,QUEENS AVE,71, , ,5416,QUEENS,894712.9,1040582
19-060723,2019-12,12/04/2019 12:01,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3106,KEOKUK ST,16, , ,3106,KEOKUK,895434.2,1002055
19-060626,2019-12,12/04/2019 12:01,Y, , ,1, ,241100,5,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4949,BARNES JEWISH HOSPITAL PLZ,38, ,@BARNES JEWISH HOSPITAL,4949, ,887396.8,1020150
19-060627,2019-12,12/04/2019 12:04,Y, , ,1, ,182130,4,DRUGS-POSSESSION/HEROIN,1300,N TUCKER BLVD,62,ZOOM GAS STATION, , , ,907539.1,1021500
19-060631,2019-12,12/04/2019 12:15,Y, , ,1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4125,CAMELLIA AVE,69, , ,4125,CAMELLIA,895444.1,1034830
19-060832,2019-12,12/04/2019 12:30,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2727,N KINGSHIGHWAY BLVD,52, , ,2727,KINGSHIGHWAY,889447.5,1032841
19-060639,2019-12,12/04/2019 12:45,Y, , ,1, , 63701,3,LARCENY-SHOPLIFT UNDER $500,3430,S GRAND BLVD,25,SCHNUCKS,INSIDE STORE,3430,GRAND,893788.8,1005469
19-060635,2019-12,12/04/2019 12:57,Y, , ,1, , 82000,6,ARSON-2ND DEGREE/SUCCESS,1525,E DE SOTO AVE,66, ,ALIAS 1525 E DESOTO CITY,1525,DE SOTO,903024.8,1034798
19-060654,2019-12,12/04/2019 13:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5896,MAFFITT AVE,50, , ,5896,MAFFITT,883338.7,1036024
19-060740,2019-12,12/04/2019 13:00,Y, , ,1, , 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1364,UNION BLVD,51, , ,1364,UNION,885813.2,1030111
19-060646,2019-12,12/04/2019 13:15,Y, , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,7909,S BROADWAY,2, ,THE PATCH NEIGHBORHOOD,7909,BROADWAY,888586.4,987458.9
19-060643,2019-12,12/04/2019 13:25,Y, , ,1, , 51112,2,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,4024,BLAINE AVE,28, ,#1091468,4024,BLAINE,892113.3,1014542
19-060681,2019-12,12/04/2019 13:30,Y, , ,1, , 63701,1,LARCENY-SHOPLIFT UNDER $500,4250,S BROADWAY,17,FAMILY DOLLAR, ,4250,BROADWAY,897347.1,999530.2
19-060647,2019-12,12/04/2019 13:32,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4979,NATURAL BRIDGE AVE,69, ,@MCDONALDS - NATURAL BRIDGE, , ,891403.6,1035206
19-060637,2019-12,12/04/2019 13:34,Y, , ,1, ,263299,5,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,4608,DR MARTIN LUTHER KING DR,54, , ,4608,DR MARTIN LUTHER KING,891129.1,1028936
19-060707,2019-12,12/04/2019 14:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",401,HOLLY HILLS AVE,1,FAMILY CARE HEALTH CENTER, ,401,HOLLY HILLS,891457,992100.2
19-060722,2019-12,12/04/2019 14:00,Y, , ,1, , 51312,4,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,912,MANHATTAN PL,62, , ,912,MANHATTAN,908568.2,1021742
19-060652,2019-12,12/04/2019 14:10,Y, , ,1, ,151140,4,WEAPONS-STATE VIOL/UNLWFL USE/DISCHARGING,0,N 19TH ST / AGNES ST,65, , , , ,905816.8,1028631
19-061091,2019-12,12/04/2019 14:14,Y, , ,1, , 69602,3,"LARCENY-ALL OTHER $500 - $24,999",2656,PARK AVE,31, , ,2656,PARK,899669.2,1014132
19-060656,2019-12,12/04/2019 14:20,Y, , ,1, , 41014,1,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,4650,DEWEY AVE,16, , ,4650,DEWEY,891268,999015.8
19-060680,2019-12,12/04/2019 14:45,Y, , ,1, ,263299,1,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,DELOR ST / S GRAND BLVD,16, , , , ,891552.9,997605.5
19-060801,2019-12,12/04/2019 15:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4472,BECK AVE,15, ,#1151595,4472,BECK,886251.3,1004478
19-060720,2019-12,12/04/2019 15:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",1020,LOUGHBOROUGH AVE,1,SCHNUCKS, ,1020,LOUGHBOROUGH,888369.9,991903
19-060855,2019-12,12/04/2019 15:00,Y, , ,1, , 69602,5,"LARCENY-ALL OTHER $500 - $24,999",4223,DR MARTIN LUTHER KING DR,58, , ,4223,DR MARTIN LUTHER KING,894005.3,1027449
19-060669,2019-12,12/04/2019 15:00,Y, , ,1, , 32421,1,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS,7312,HAMPSHIRE DR,6, , ,7312,HAMPSHIRE,879078.7,995110.3
19-060661,2019-12,12/04/2019 15:16,Y, , ,1, , 83000,4,ARSON-KNOWINGLY BURNING/SUCCESS,711,N GRAND BLVD,77, , ,711,GRAND,897084.6,1022225
19-060687,2019-12,12/04/2019 15:25,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,5937,LAURA AVE,76, , ,5937,LAURA,888967.6,1044135
19-060835,2019-12,12/04/2019 15:30,Y, , ,1, , 64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",8410,HALLS FERRY RD,74, , ,8410,HALLS FERRY,896662.3,1049106
19-060686,2019-12,12/04/2019 15:40,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4038,N GRAND BLVD,67,DOLLAR GENERAL, ,4038,GRAND,901867.4,1030898
19-060677,2019-12,12/04/2019 15:45,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,4255,HAMPTON AVE,8,TARGET, ,4255,HAMPTON,878653.4,1004650
19-064859,2019-12,12/04/2019 15:49,Y, , ,1, , 72113,2,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,1641,S KINGSHIGHWAY BLVD,12, , ,1641,KINGSHIGHWAY,886712.8,1014540
19-064733,2019-12,12/04/2019 15:55,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,E GRAND AVE / I 70 WESTBOUND,66, ,ALIAS WB 70/E GRAND AVE CITY, , ,904661.3,1034060
19-060670,2019-12,12/04/2019 15:55,Y, , ,1, , 36112,1,ROBBERY-COMMERCE PL/FIREARM USED/ATTEMPT,1020,LOUGHBOROUGH AVE,1, ,@SCHNUCKS - LOUGHBOROUGH,940,LOUGHBOROUGH,888369.9,991903
19-061026,2019-12,12/04/2019 16:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,ARSENAL ST / I 55 SOUTHBOUND,22, , , , ,901454.8,1006277
19-063243,2019-12,12/04/2019 16:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,4100,FLAD AVE,27, , ,4100,FLAD,891244.3,1011821
19-060683,2019-12,12/04/2019 16:00,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,4627,RIDGEWOOD AVE,5, ,APT  209,4627,RIDGEWOOD,885268.7,1002255
19-060919,2019-12,12/04/2019 16:15,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,4500,N BROADWAY,64, , ,919,JEFFERSON,905164,1033720
19-060684,2019-12,12/04/2019 16:23,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3529,ARKANSAS AVE,19, , , , ,893855.2,1004725
19-060772,2019-12,12/04/2019 16:30,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,5333,THOLOZAN AVE,14, , ,5333,THOLOZAN,882537.3,1005549
19-060695,2019-12,12/04/2019 16:50,Y, , ,1, , 66701,4,LARCENY-BICYCLES UNDER $500,1515,N 13TH ST,60,CROWN MART, , , ,907555.6,1022698
19-062395,2019-12,12/04/2019 17:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,3840,SHENANDOAH AVE,27, ,MULTI-FAMILY,3840,SHENANDOAH,893054.1,1010964
19-063921,2019-12,12/04/2019 17:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,3842,SHENANDOAH AVE,27, , ,3842,SHENANDOAH,893054.1,1010964
19-060700,2019-12,12/04/2019 17:25,Y, , ,1, , 63701,3,LARCENY-SHOPLIFT UNDER $500,2324,SALENA ST,22,RAMP RIDERS, ,2324,SALENA,901330.8,1010044
19-060750,2019-12,12/04/2019 17:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5031,DURANT AVE,71, , ,5031,DURANT,892965.6,1039753
19-060759,2019-12,12/04/2019 17:30,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N PRAIRIE AVE / ST LOUIS AVE,59, , , , ,898923.8,1028255
19-060777,2019-12,12/04/2019 17:45,Y, , ,1, , 71030,6,AUTO THEFT-PERM RETNT/JOY RIDE,5349,CLAXTON AVE,71, , ,5349,CLAXTON,893283.1,1041539
19-060901,2019-12,12/04/2019 18:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4343,DUKE ST,5, , ,4343,DUKE,885920.9,1000384
19-061916,2019-12,12/04/2019 18:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",4231,IOWA AVE,17, , ,4231,IOWA,896721.1,999599.8
19-060766,2019-12,12/04/2019 18:10,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4116,MCREE AVE,28, , ,4112,MCREE,891387,1014287
19-060710,2019-12,12/04/2019 18:30,Y, , ,1, , 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1916,CARR DR,61, , ,1415,CASS,904440.9,1021449
19-060704,2019-12,12/04/2019 18:40,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4105,S COMPTON AVE,16, , ,4105,COMPTON,894584.6,1000856
19-060708,2019-12,12/04/2019 18:50,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4214,S BROADWAY,17,BROADWAY MARKET,PARKING LOT, , ,897347.1,999530.2
19-060711,2019-12,12/04/2019 18:55,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,933,LASALLE PARK CT,34, , ,930,LASALLE PARK,906241.3,1013517
19-061071,2019-12,12/04/2019 18:57,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,28,HENRIETTA PL,31, , ,28,HENRIETTA,898342.7,1013298
19-060858,2019-12,12/04/2019 19:00,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,5829,POTOMAC ST,14, , ,5829,POTOMAC,879711.8,1006880
19-060796,2019-12,12/04/2019 19:00,Y, , ,1, , 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,5812,POTOMAC ST,14, , ,5812,POTOMAC,879841.2,1006680
19-060773,2019-12,12/04/2019 19:00,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4648,HOLLY HILLS AVE,4, , ,4648,HOLLY HILLS,882949.9,997626.5
19-060719,2019-12,12/04/2019 19:30,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6201,EMMA AVE,76, , ,6201,EMMA,889336.6,1046692
19-060719,2019-12,12/04/2019 19:30,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6201,EMMA AVE,76, , ,6201,EMMA,889336.6,1046692
19-060719,2019-12,12/04/2019 19:30,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6201,EMMA AVE,76, , ,6201,EMMA,889336.6,1046692
19-060719,2019-12,12/04/2019 19:30,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6201,EMMA AVE,76, , ,6201,EMMA,889336.6,1046692
19-060719,2019-12,12/04/2019 19:30,Y, , ,1, , 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,6201,EMMA AVE,76, , ,6201,EMMA,889336.6,1046692
19-060719,2019-12,12/04/2019 19:30,Y, , ,1, , 41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,6201,EMMA AVE,76, , ,6201,EMMA,889336.6,1046692
19-060719,2019-12,12/04/2019 19:30,Y, , ,1, , 41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,6201,EMMA AVE,76, , ,6201,EMMA,889336.6,1046692
19-060719,2019-12,12/04/2019 19:30,Y, , ,1, , 41021,6,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,6201,EMMA AVE,76, , ,6201,EMMA,889336.6,1046692
19-060732,2019-12,12/04/2019 20:15,Y, , ,1, , 41016,6,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,5339,CONDE ST,66, , ,5339,CONDE,901898.6,1035519
19-060717,2019-12,12/04/2019 20:19,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",9078,GOODFELLOW BLVD,73, , , , ,894049.9,1051902
19-060780,2019-12,12/04/2019 20:30,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",3811,HUMPHREY ST,15, , ,3811,HUMPHREY,892452.9,1007014
19-060728,2019-12,12/04/2019 20:40,Y, , ,1, , 91303,5,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,5854,SELBER CT,50, , ,5854,SELBER,885088.8,1037930
19-060728,2019-12,12/04/2019 20:40,Y, , ,1, , 91303,5,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,5854,SELBER CT,50, , ,5854,SELBER,885088.8,1037930
19-060728,2019-12,12/04/2019 20:40,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5854,SELBER CT,50, , ,5854,SELBER,885088.8,1037930
19-060728,2019-12,12/04/2019 20:40,Y, , ,1, , 91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5854,SELBER CT,50, , ,5854,SELBER,885088.8,1037930
19-060726,2019-12,12/04/2019 20:49,Y, , ,1, ,130000,2,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",0,ITASKA ST / JANUARY AVE,7, , , , ,880651.6,1001835
19-060830,2019-12,12/04/2019 20:50,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,930,HOLLY HILLS AVE,80, , ,930,HOLLY HILLS,889835.5,993183.7
19-060727,2019-12,12/04/2019 20:58,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5380,THEODOSIA AVE,50, , ,5380,THEODOSIA,885934.3,1032053
19-060912,2019-12,12/04/2019 21:00,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4084,LOUGHBOROUGH AVE,4, , ,4084,LOUGHBOROUGH,884707.3,994402.1
19-060725,2019-12,12/04/2019 21:15,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4180,FARLIN AVE,68, ,PARKED ON FARLIN,4180,FARLIN,897340.4,1033177
19-060765,2019-12,12/04/2019 21:30,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",5412,DELMAR BLVD,47, , ,5412,DELMAR,884176.5,1026700
19-060735,2019-12,12/04/2019 21:37,Y, , ,1, ,182999,4,DRUGS-POSSESSION/OTHR UNSPEC DRUG,3731,DR MARTIN LUTHER KING DR,59, , , , ,897494.3,1025430
19-060734,2019-12,12/04/2019 21:40,Y, , ,1, ,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6401,CLAYTON AVE,42, , ,6401,CLAYTON,879309.1,1017882
19-060731,2019-12,12/04/2019 21:45,Y, , ,1, , 31111,5,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,600,N EUCLID AVE,38,TRINTY CHURCH, ,512,EUCLID,888580.9,1025734
19-060857,2019-12,12/04/2019 21:59,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,430,S 15TH ST,36, ,@GREYHOUND,430,15TH,904845.8,1016613
19-060863,2019-12,12/04/2019 22:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1110,SALISBURY ST,65, , ,1110,SALISBURY,906432.9,1029817
19-060776,2019-12,12/04/2019 22:00,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",4054,CHOUTEAU AVE,39,REHAB BAR, ,4054,CHOUTEAU,891651.4,1017489
19-060754,2019-12,12/04/2019 22:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3908,CALIFORNIA AVE,16, , ,3908,CALIFORNIA,896932.1,1001801
19-060782,2019-12,12/04/2019 22:15,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4451,EVANS AVE,54, , ,4451,EVANS,892350.3,1027950
19-060756,2019-12,12/04/2019 22:30,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,1818,WASHINGTON AVE,36, , ,1818,WASHINGTON,904155.3,1019609
19-060736,2019-12,12/04/2019 22:49,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,0,GRAVOIS / RIVER DES PERES,4, , , , ,0,0
19-060739,2019-12,12/04/2019 22:50,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4254,W COTE BRILLIANTE AVE,57, , ,4230,COTE BRILLIANTE,894080.2,1028053
19-060741,2019-12,12/04/2019 23:20,Y, , ,1, , 43013,5,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5804,CATES AVE,48, ,APT 1 WEST,5804,CATES,881171.8,1028283
19-060831,2019-12,12/04/2019 23:30,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,4054,CHOUTEAU AVE,39,BAR- REHAB, , , ,891651.4,1017489
19-060757,2019-12,12/04/2019 23:40,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",3720,S COMPTON AVE,19, , ,3720,COMPTON,895156.4,1003278
19-060774,2019-12,12/04/2019 23:45,Y, , ,1, , 64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",4217,CLAY AVE,68, , ,4217,CLAY,899393.2,1033474
19-060743,2019-12,12/05/2019 00:05,Y, , ,1, , 44016,2,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC,2807,SULPHUR AVE,11,PARKING LOT OF 7 ELEVEN, , , ,880214.2,1010929
19-060768,2019-12,12/05/2019 02:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4429,SWAN AVE,39, , ,4429,SWAN,888623.6,1016811
19-060770,2019-12,12/05/2019 02:07,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,1115,S NEWSTEAD AVE,39, , ,1115,NEWSTEAD,888873.8,1016856
19-060748,2019-12,12/05/2019 02:10,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4254,SCHILLER PL,5, , ,4254,SCHILLER,886442.6,999358.3
19-060769,2019-12,12/05/2019 03:00,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,2845,RUSSELL BLVD,24, ,ROADWAY,3750,LINDELL,898086,1011822
19-060749,2019-12,12/05/2019 03:10,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,N 4TH ST / PINE ST,35, , , , ,909303.9,1017205
19-060751,2019-12,12/05/2019 03:45,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,5820,LANSDOWNE AVE,7, , ,5820,LANSDOWNE,879415.9,1003526
19-060752,2019-12,12/05/2019 04:25,Y, , ,1, ,204200,2,FAMILY & CHILD CRIME-CNTRIB DELINQ MINOR,7201,LANSDOWNE AVE,9, ,@METROLINK - SHREWSBURY,7110,MARDEL,872005.1,1004597
19-060753,2019-12,12/05/2019 04:45,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,HAMPTON AVE / WILSON AVE,11, , , , ,880947.6,1013742
19-060898,2019-12,12/05/2019 05:00,Y, , ,1, , 51311,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/OCCUPIED,8507,WATER ST,2, , ,8507,WATER,887517.3,985700.2
19-061019,2019-12,12/05/2019 05:50,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1720,MARKET ST,36, ,@MAIN POST OFFICE,1720,MARKET,904195.4,1017639
19-060755,2019-12,12/05/2019 06:00,Y, , ,1, , 71030,5,AUTO THEFT-PERM RETNT/JOY RIDE,5446,ST LOUIS AVE,50, , ,5446,ST LOUIS,886870.5,1035113
19-060880,2019-12,12/05/2019 07:00,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,5088,MILENTZ AVE,6, , ,5088,MILENTZ,881571.1,999655.5
19-060879,2019-12,12/05/2019 07:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,516,LOUGHBOROUGH AVE,1, , ,516,LOUGHBOROUGH,889651.8,990881.3
19-060905,2019-12,12/05/2019 07:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3548,MISSOURI AVE,18, ,RESIDENCE,3548,MISSOURI,899187.5,1003656
19-060762,2019-12,12/05/2019 07:18,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,ENRIGHT AVE / N GRAND BLVD,77, ,ROAD, , ,897335.2,1022448
19-060786,2019-12,12/05/2019 07:38,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1519,AGNES AVE,65, , ,1519,AGNES,905950.4,1028751
19-060767,2019-12,12/05/2019 07:40,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",3840,ASHLAND AVE,59, ,INSIDE RESIDENCE,3840,ASHLAND,899205.7,1029626
19-060839,2019-12,12/05/2019 08:00,Y, , ,1, , 71030,3,AUTO THEFT-PERM RETNT/JOY RIDE,4100,S 1ST ST,18, , ,4100,1ST,899534.3,1000676
19-061661,2019-12,12/05/2019 08:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4040,PHILLIPS AVE,15, , ,4040,PHILLIPS,889928.6,1003862
