Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-055318,2019-11,11/03/2019 19:50,Y, , ,1, , 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,7600,VERMONT AVE,2, , ,7600,VERMONT,888093.4,989291.9
19-055318,2019-11,11/03/2019 19:50,Y, , ,1, , 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,7600,VERMONT AVE,2, , ,7600,VERMONT,888093.4,989291.9
19-055355,2019-11,11/03/2019 20:00,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2218,PORTIS AVE,13, , ,2218,PORTIS,887858.8,1011930
19-055428,2019-11,11/03/2019 20:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4950,ARLINGTON AVE,71, , ,4950,ARLINGTON,891689.4,1040592
19-055405,2019-11,11/03/2019 20:00,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,3615,VIRGINIA AVE,19, , ,3615,VIRGINIA,894756.6,1004070
19-055414,2019-11,11/03/2019 20:30,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,3315,MINNESOTA AVE,30, , ,3315,MINNESOTA,896044.6,1005893
19-055389,2019-11,11/03/2019 20:30,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,1709,WASHINGTON AVE,36, , ,1709,WASHINGTON,904856.5,1019655
19-055323,2019-11,11/03/2019 20:30,Y, , ,1, ,241100,4,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,2811,N PRAIRIE AVE,59, , , , ,898756,1027922
19-055377,2019-11,11/03/2019 20:30,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,S COMPTON AVE / MIAMI ST,19, , ,3225,OSCEOLA,895277.8,1004277
19-055371,2019-11,11/03/2019 21:00,Y, , ,1, , 72113,1,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,4444,BEETHOVEN AVE,5, , ,4444,BEETHOVEN,886111.8,1003107
19-055322,2019-11,11/03/2019 21:08,Y, , ,1, , 51211,2,BURGLARY-RESIDENCE/NIT/FORCE ENT/OCCUPIED,4551,CHOUTEAU AVE,39, , ,4551,CHOUTEAU,888070.5,1018784
19-055332,2019-11,11/03/2019 21:40,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,300,N BOYLE AVE,37, , , , ,891435.3,1022332
19-055349,2019-11,11/03/2019 22:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1709,WASHINGTON AVE,36, , ,1709,WASHINGTON,904856.5,1019655
19-055324,2019-11,11/03/2019 22:24,Y, , ,1, ,182999,6,DRUGS-POSSESSION/OTHR UNSPEC DRUG,7100,N BROADWAY,86, , , , ,898393.3,1042355
19-055421,2019-11,11/03/2019 22:45,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",0,N 18TH ST / LUCAS AVE,36, , , , ,904601.6,1019821
19-055362,2019-11,11/03/2019 23:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2803,HICKORY ST,31, , ,2803,HICKORY,899026.3,1015402
19-055327,2019-11,11/03/2019 23:00,Y, , ,1, , 43015,6,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,4955,THEKLA AVE,71, , , , ,894278.5,1039422
19-055328,2019-11,11/03/2019 23:15,Y, , ,1, ,266510,6,PUBLIC ORDER-TRESPASSING,1243,PEGGY CT,74, , ,1243,PEGGY,895234.1,1048675
19-055334,2019-11,11/03/2019 23:25,Y, , ,1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2716,TEXAS AVE,30, ,FRIEND S HOUSE,4049,LINDELL,899038.4,1008856
19-055354,2019-11,11/03/2019 23:30,Y, , ,1, , 71030,5,AUTO THEFT-PERM RETNT/JOY RIDE,4959,NORTHLAND PL,55, , ,4959,NORTHLAND,889808.8,1032467
19-055623,2019-11,11/03/2019 23:30,Y, , ,1, , 64601,3,"LARCENY-FROM MTR VEH $500 - $24,999",2656,PARK AVE,31, , ,2656,PARK,899669.2,1014132
19-055333,2019-11,11/03/2019 23:35,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,BIRCHER BLVD / UNION BLVD,71, , , , ,891444.2,1039774
19-055336,2019-11,11/03/2019 23:43,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,1918,CHEROKEE ST,18, ,@APARTMENT COMPLEX,1918,CHEROKEE,900364.2,1004614
19-055329,2019-11,11/03/2019 23:48,Y, , ,1, , 51222,1,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED,4631,STEFFENS AVE,5, ,REAR - GARAGE,4631,STEFFENS,888749.6,1000435
19-055331,2019-11,11/04/2019 00:03,Y, , ,1, , 91113,3,SIMPLE ASSAULT-ADULT/NO INJURY,1410,OHIO AVE,31, , ,1410,OHIO,899701.4,1014582
19-055337,2019-11,11/04/2019 00:03,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,ASHLAND AVE / UNION BLVD,52, , , , ,888734.9,1035403
19-055335,2019-11,11/04/2019 00:05,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,MCLARAN AVE / PARTRIDGE AVE,74, ,AT INTERSECTION, , ,894330.8,1049643
19-055338,2019-11,11/04/2019 00:27,Y, , ,1, , 31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4962,SCHOLLMEYER AVE,6, ,SIDEWALK,4947,SCHOLLMEYER,881237.4,997353.7
19-055359,2019-11,11/04/2019 00:30,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,1621,N 1ST ST,64, , ,1621,1ST,910656.5,1022546
19-055352,2019-11,11/04/2019 00:30,Y, , ,1, , 51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,6222,JUNIATA ST,9, ,VICTIM S GARAGE,6222,JUNIATA,878848.5,1009699
19-055353,2019-11,11/04/2019 00:30,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,1709,WASHINGTON AVE,36, , ,1709,WASHINGTON,904856.5,1019655
19-055340,2019-11,11/04/2019 00:41,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,2717,RUSSELL AVE,24, , ,2800,RUSSELL,898882.9,1011724
19-055419,2019-11,11/04/2019 00:45,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1477,PEABODY CT,33, , ,1477,PEABODY,903907.9,1013842
19-055366,2019-11,11/04/2019 01:00,Y, , ,1, , 72113,5,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,1704,N SARAH ST,56, , ,1704,SARAH,895670.8,1026939
19-055344,2019-11,11/04/2019 01:15,Y, , ,1, ,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4510,S GRAND BLVD,16, , ,4506,GRAND,892657,999131.6
19-055401,2019-11,11/04/2019 02:11,Y, , ,1, , 71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,5527,S BROADWAY,1, , ,5527,BROADWAY,893941.8,993670.6
19-055347,2019-11,11/04/2019 03:25,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT,4101,GRAVOIS AVE,16,QUIKTRIP, ,4101,GRAVOIS,889849,1003566
19-055348,2019-11,11/04/2019 03:59,Y, , ,1, ,241100,2,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5401,SUTHERLAND AVE,7, , ,5401,SUTHERLAND,881958.7,1003691
19-055486,2019-11,11/04/2019 05:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,6648,VILLA AVE,44, , ,6641,VILLA,877223.7,1016654
19-055370,2019-11,11/04/2019 05:15,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,6501,FYLER AVE,9,MASTER AUTO REPAIR, ,6501,FYLER,877612.2,1008436
19-055350,2019-11,11/04/2019 05:55,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4624,DELMAR BLVD,38,WESTEND CHILDREN S ACADEMY, ,4624,DELMAR,889773.6,1025856
19-057180,2019-11,11/04/2019 06:00,Y, , ,1, , 91113,2,SIMPLE ASSAULT-ADULT/NO INJURY,3637,VISTA AVE,29, , ,3637,VISTA,894312.6,1015723
19-055534,2019-11,11/04/2019 06:15,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4374,W BELLE PL,58, , ,4334,BELLE,892175.3,1025841
19-055774,2019-11,11/04/2019 06:30,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,5503,PARTRIDGE AVE,72, , ,5503,PARTRIDGE,891444.5,1045611
19-055501,2019-11,11/04/2019 07:15,Y, , ,1, , 64701,3,LARCENY-FROM MTR VEH UNDER $500,2800,S GRAND BLVD,25, , ,2800,GRAND,894133.1,1009602
19-055913,2019-11,11/04/2019 07:20,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,2620,CLIFTON AVE,11, , ,2620,CLIFTON,879083.2,1012516
19-055379,2019-11,11/04/2019 07:50,Y, , ,1, , 51112,6,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,5024,BEACON AVE,72, , ,5024,BEACON,891207,1041833
19-055469,2019-11,11/04/2019 07:50,Y, , ,1, , 64711,6,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4324,MARGARETTA AVE,68, , ,4324,MARGARETTA,896091.8,1033435
19-055372,2019-11,11/04/2019 08:05,Y, , ,1, , 71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,930,HOLLY HILLS AVE,80,YMCA, ,930,HOLLY HILLS,889835.5,993183.7
19-055625,2019-11,11/04/2019 08:30,Y, , ,1, , 92000,4,SIMPLE ASSAULT-HARRASSMENT,300,N 4TH ST,35, ,@MANSION HOUSE,300,4TH,909633.8,1017651
19-055388,2019-11,11/04/2019 08:30,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,0,S BOYLE AVE / I 64 WESTBOUND,39, , , , ,890669.7,1018823
19-055487,2019-11,11/04/2019 09:00,Y, , ,1, , 64701,2,LARCENY-FROM MTR VEH UNDER $500,3115,S GRAND BLVD,15, , ,3115,GRAND,893735.6,1008249
19-055641,2019-11,11/04/2019 09:00,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,905,OLIVE ST,35,9TH ST GARAGE,9TH FLOOR, , ,907715.6,1018136
19-055380,2019-11,11/04/2019 09:06,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1415,N GARRISON AVE,59, ,@SCHOOL - DUNBAR,1415,GARRISON,899853.3,1023919
19-055383,2019-11,11/04/2019 09:15,Y, , ,1, , 43013,4,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,1839,BIDDLE ST,61, , ,1839,BIDDLE,905293.2,1021624
19-055383,2019-11,11/04/2019 09:15,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1839,BIDDLE ST,61, , ,1839,BIDDLE,905293.2,1021624
19-055383,2019-11,11/04/2019 09:15,Y, , ,1, , 91124,4,"ASSAULT, CHILD, AGE 16 AND UNDR-DOMESTIC",1839,BIDDLE ST,61, , ,1839,BIDDLE,905293.2,1021624
19-055384,2019-11,11/04/2019 09:26,Y, , ,1, ,151130,3,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,3702,IOWA AVE,19, , ,3702,IOWA,897474.8,1003261
19-055422,2019-11,11/04/2019 09:46,Y, , ,1, , 64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",3921,N NEWSTEAD AVE,69, ,@SCHOOL - ASHLAND,3921,NEWSTEAD,895633.1,1033528
19-055572,2019-11,11/04/2019 10:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,6440,CLIFTON HILLS DR,11, , ,6440,CLIFTON HILLS,877985.4,1012134
19-055816,2019-11,11/04/2019 10:00,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,5204,LILLIAN AVE,71, , ,3431,TENNESSEE,892434.1,1039742
19-055399,2019-11,11/04/2019 10:00,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,2515,N GRAND BLVD,59, , ,2515,GRAND,899267.9,1026798
19-055404,2019-11,11/04/2019 10:06,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,800,N TUCKER BLVD,35,ST PATRICK CENTER,REAR,800,TUCKER,907168.5,1019631
19-055582,2019-11,11/04/2019 10:08,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4234,OSCEOLA ST,5, , ,4234,OSCEOLA,887676.8,1002990
19-056615,2019-11,11/04/2019 10:22,Y, , ,1, , 64701,1,LARCENY-FROM MTR VEH UNDER $500,5219,MURDOCH AVE,7, , ,5219,MURDOCH,882833.2,1002583
19-055402,2019-11,11/04/2019 10:28,Y, , ,1, ,250000,1,LOITERING-BEGGING,6900,IDAHO AVE,1, , ,6900,IDAHO,889163.9,991407
19-055420,2019-11,11/04/2019 10:50,Y, , ,1, ,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,3921,SHERMAN PL,67, , ,39,LEE,900019.9,1032339
19-055410,2019-11,11/04/2019 11:14,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3236,NEBRASKA AVE,30, , ,3221,NEBRASKA,896960.9,1006181
19-055424,2019-11,11/04/2019 11:27,Y, , ,1, ,151400,3,WEAPONS-STATE VIOL/DEFACED FIREARM,3518,S GRAND BLVD,25,@PHILLIPS 66, , , ,893530.5,1004900
19-055473,2019-11,11/04/2019 11:30,Y, , ,1, , 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",6455,MANCHESTER AVE,43, , ,6455,MANCHESTER,878450.1,1015037
19-058173,2019-11,11/04/2019 11:31,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,845,ELIAS AVE,74, ,ALLEY,845,ELIAS,897083.4,1051657
19-055429,2019-11,11/04/2019 11:48,Y, , ,1, , 52112,6,BURGLARY-BUSINESS/DAY/FORCE ENT/UNOCCUPIED,4557,SAN FRANCISCO AVE,69, ,LIGHT HOUSE SDA CHURCH,4557,SAN FRANCISCO,894395.1,1034048
19-055413,2019-11,11/04/2019 11:50,Y, , ,1, ,182400,1,DRUGS-POSSESSION/MARIJUANA,4355,S BROADWAY,17, , ,4300,NEBRASKA,896676.4,998998.5
19-055417,2019-11,11/04/2019 11:50,Y, , ,1, , 63701,4,LARCENY-SHOPLIFT UNDER $500,300,S JEFFERSON AVE,36,CROWN FOOD MART, ,300,JEFFERSON,901180.5,1017627
19-055516,2019-11,11/04/2019 12:00,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,3015,N 23RD ST,60, , ,3015,23RD,904022.6,1027132
19-056807,2019-11,11/04/2019 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,3933,N EUCLID AVE,69, , ,3933,EUCLID,892117.3,1035556
19-055436,2019-11,11/04/2019 12:00,Y, , ,1, , 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4523,LEXINGTON AVE,56, ,@ TAYLOR,4123,LEXINGTON,894240.2,1033106
19-055427,2019-11,11/04/2019 12:05,Y, , ,1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4234,N GRAND BLVD,67,LIBRARY- DIVOLL BRANCH, ,4234,GRAND,902501,1032025
19-056159,2019-11,11/04/2019 12:26,Y, , ,1, , 92000,3,SIMPLE ASSAULT-HARRASSMENT,3150,S GRAND BLVD,25, , ,3150,GRAND,893905,1007810
19-055439,2019-11,11/04/2019 13:15,Y, , ,1, , 31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,4900,ARLINGTON AVE,71, , , , ,891284.3,1040308
19-055632,2019-11,11/04/2019 14:00,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,2617,ARMAND PL,24, , ,2619,ARMAND,899356.9,1010644
19-055450,2019-11,11/04/2019 14:10,Y, , ,1, ,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,6059,MAPLE AVE,48, , , , ,879013.9,1029969
19-055455,2019-11,11/04/2019 14:21,Y, , ,1, , 31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,200,S 18TH ST,36, ,S 18TH ST AND CLARK AVE,5743,GOODFELLOW,903906.1,1017271
19-055596,2019-11,11/04/2019 14:30,Y, , ,1, , 64701,4,LARCENY-FROM MTR VEH UNDER $500,3550,SAMUEL SHEPARD DR,77, , ,3550,SAMUEL SHEPARD,897076.6,1022008
19-055454,2019-11,11/04/2019 14:35,Y, , ,1, , 72113,3,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,3401,ARSENAL ST,25,INTERNATIONAL INSTITUTE OF ST LOUIS, ,3401,ARSENAL,895056.3,1008550
19-055453,2019-11,11/04/2019 14:36,Y, , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2918,SULLIVAN AVE,59, , ,2911,SULLIVAN,901287.1,1028145
19-055505,2019-11,11/04/2019 14:50,Y, , ,1, ,265321,2,LEAVING SCENE OF ACCIDENT,4308,CHOUTEAU AVE,39, , ,4308,CHOUTEAU,890329.9,1017929
19-055609,2019-11,11/04/2019 15:15,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,6254,DELMAR BLVD,46,THE EMPORIUM, ,6254,DELMAR,876843.8,1027542
19-055752,2019-11,11/04/2019 15:23,Y, , ,1, , 92000,1,SIMPLE ASSAULT-HARRASSMENT,4746,NEBRASKA AVE,17, ,4TH DOOR,4746,NEBRASKA,895342.9,996295.7
19-055474,2019-11,11/04/2019 15:25,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",0,N 20TH ST / SAINT LOUIS AVE,60, ,ALIAS N 20TH/ST LOUIS, , ,905127.7,1026175
19-055465,2019-11,11/04/2019 15:25,Y, , ,1, , 63701,2,LARCENY-SHOPLIFT UNDER $500,3859,GRAVOIS AVE,15,RAINBOW, ,3859,GRAVOIS,891583.8,1004871
19-055457,2019-11,11/04/2019 15:28,Y, , ,1, ,182400,4,DRUGS-POSSESSION/MARIJUANA,0,N FLORISSANT AVE / HEBERT ST,60, , , , ,905163.4,1027485
19-055477,2019-11,11/04/2019 15:30,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2807,ARSENAL ST,30, , ,2807,ARSENAL,897651.2,1007623
19-055480,2019-11,11/04/2019 15:35,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",1473,ARLINGTON AVE,78, , , , ,885476.1,1031697
19-055470,2019-11,11/04/2019 15:35,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,731,HODIAMONT AVE,48, ,@METROLINK - DELMAR,731,HODIAMONT,878834.8,1027680
19-055478,2019-11,11/04/2019 15:55,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2839,DAYTON ST,59, , ,2839,DAYTON,900935.7,1022854
19-055472,2019-11,11/04/2019 15:55,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT,0,S GRAND BLVD / OSAGE ST,16, , , , ,893180.8,1001919
19-055509,2019-11,11/04/2019 16:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3505,MAGNOLIA AVE,25, , ,3505,MAGNOLIA,894652.8,1009698
19-055595,2019-11,11/04/2019 16:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,20,N GRAND BLVD,37,SAINT LOUIS UNIVERSITY,@SLU - BUSCH STUDENT CENTER,20,GRAND,896304.5,1020042
19-055798,2019-11,11/04/2019 16:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3306,RUSSELL BLVD,26, ,APT E,3306,RUSSELL,896182.6,1012107
19-055483,2019-11,11/04/2019 16:00,Y, , ,1, , 63701,1,LARCENY-SHOPLIFT UNDER $500,4930,CHRISTY BLVD,5, , ,4930,CHRISTY,884082.3,1001677
19-055471,2019-11,11/04/2019 16:11,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,5000,ROBIN AVE,72, , ,5000,ROBIN,0,0
19-055683,2019-11,11/04/2019 16:30,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4227,DRESSELL AVE,70, , ,4227,DRESSELL,885391.2,1040745
19-056206,2019-11,11/04/2019 16:30,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,8533,PARTRIDGE AVE,74, , ,8533,PARTRIDGE,893739.3,1048522
19-055484,2019-11,11/04/2019 16:50,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,0,DELMAR BLVD / N EUCLID AVE,38, , , , ,888628.4,1026138
19-055844,2019-11,11/04/2019 17:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2000,MADISON ST,60, , ,2000,MADISON,904374.2,1024178
19-059199,2019-11,11/04/2019 17:00,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4616,STEINLAGE DR,69, , ,4616,STEINLAGE,896421.5,1036975
19-055492,2019-11,11/04/2019 17:00,Y, , ,1, , 91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",2636,OREGON AVE,24, , ,2636,OREGON,897800.8,1009380
19-055490,2019-11,11/04/2019 17:00,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,I 55 SOUTHBOUND / SPRUCE ST,35, , , , ,909095,1015474
19-055510,2019-11,11/04/2019 17:38,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4481,SAINT LOUIS AVE,57, , ,4481,SAINT LOUIS,893633.9,1031171
19-055565,2019-11,11/04/2019 17:45,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4812,FARLIN AVE,69, ,MULTI-FAMILY RESIDENCE,4812,FARLIN,893208.8,1035406
19-055491,2019-11,11/04/2019 17:56,Y, , ,1, ,183130,3,DRUGS-SALE/HEROIN,3449,PENNSYLVANIA AVE,19, ,@HEADQUARTERS,1915,OLIVE,896220.8,1004852
19-055497,2019-11,11/04/2019 18:00,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5300,THEODOSIA AVE,50, , ,5300,THEODOSIA,886749.6,1031749
19-055500,2019-11,11/04/2019 18:14,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,915,N KINGSHIGHWAY BLVD,53,HODIAMONT TRACKS,HODIAMONT TRACKS, , ,887895.9,1027118
19-055500,2019-11,11/04/2019 18:14,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,915,N KINGSHIGHWAY BLVD,53,HODIAMONT TRACKS,HODIAMONT TRACKS, , ,887895.9,1027118
19-055498,2019-11,11/04/2019 18:26,Y, , ,1, ,182999,2,DRUGS-POSSESSION/OTHR UNSPEC DRUG,6734,SMILEY AVE,9, ,STREET,6734,SMILEY,875930.4,1009855
19-055502,2019-11,11/04/2019 18:30,Y, , ,1, , 43013,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5000,UNION BLVD,71, ,FAMILY DOLLAR,5000,UNION,892272.6,1040231
19-055502,2019-11,11/04/2019 18:30,Y, , ,1, , 43013,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 3RD DEGREE,5000,UNION BLVD,71, ,FAMILY DOLLAR,5000,UNION,892272.6,1040231
19-055628,2019-11,11/04/2019 19:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,800,OLIVE ST,35, , ,800,OLIVE,0,0
19-055601,2019-11,11/04/2019 19:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4201,DRESSELL AVE,70, , ,4201,DRESSELL,885294.5,1040507
19-055986,2019-11,11/04/2019 19:00,Y, , ,1, , 64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",4242,SCHILLER PL,5, , ,4242,SCHILLER,886544.1,999290.3
19-055506,2019-11,11/04/2019 19:28,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,2800,N FLORISSANT AVE,63,SHELL GAS STATION, , , ,905960.9,1025983
19-055513,2019-11,11/04/2019 19:29,Y, , ,1, , 43011,4,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 1ST DEGREE,1119,N TUCKER BLVD,61,MCDONALDS, ,1119,TUCKER,907258.8,1020890
19-055666,2019-11,11/04/2019 20:00,Y, , ,1, , 67601,3,"LARCENY-FROM BUILDING $500 - $24,999",2214,DOLMAN ST,21, ,APT 2,2214,DOLMAN,902394.1,1009934
19-055564,2019-11,11/04/2019 20:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,3903,W BELLE PL,77, , ,3903,BELLE,895522.6,1023962
19-055715,2019-11,11/04/2019 20:00,Y, , ,1, , 43015,4,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,2217,SALISBURY ST,65, ,VICTIM S HOME,2217,SALISBURY,903887.3,1028994
19-058322,2019-11,11/04/2019 20:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,5840,ROOSEVELT PL,50, , ,5129,MAPLE,884112.5,1036323
19-055514,2019-11,11/04/2019 20:19,Y, , ,1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,3720,N KINGSHIGHWAY BLVD,69, ,WALGREENS,3930,KINGSHIGHWAY,891316,1035410
19-055517,2019-11,11/04/2019 20:45,Y, , ,1, , 31211,1,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL,3943,KEOKUK ST,16, , ,3943,KEOKUK,890593.2,1002869
19-055519,2019-11,11/04/2019 21:05,Y, , ,1, ,151400,3,WEAPONS-STATE VIOL/DEFACED FIREARM,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3400,ALBERTA,893788.8,1005469
19-055520,2019-11,11/04/2019 21:19,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,800,OLIVE ST,35,ARCADE APARTMENTS, ,800,OLIVE,907992.6,1017744
19-055522,2019-11,11/04/2019 21:25,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,4949,BARNES JEWISH HOSPITAL PLZ,38, ,@BARNES JEWISH HOSPITAL,4949, ,887396.8,1020150
19-055525,2019-11,11/04/2019 21:30,Y, , ,1, , 31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,201,S 18TH ST,36, , ,1730,PRESERVATION,903946.6,1017550
19-055526,2019-11,11/04/2019 21:34,Y, , ,1, ,182250,5,DRUGS-POSSESSION/COCAINE,1392,SEMPLE AVE,78, , ,1392,SEMPLE,884924.4,1030987
